"","CASES","YEAR","WEEK"
"1",286,1996,3
"2",391,1996,4
"3",565,1996,5
"4",605,1996,6
"5",823,1996,7
"6",1120,1996,8
"7",1640,1996,9
"8",1458,1996,10
"9",1409,1996,11
"10",1774,1996,12
"11",1819,1996,13
"12",2359,1996,14
"13",1755,1996,15
"14",2340,1996,16
"15",2028,1996,17
"16",2470,1996,18
"17",2369,1996,19
"18",1817,1996,20
"19",1366,1996,21
"20",1182,1996,22
"21",999,1996,23
"22",730,1996,24
"23",103,1996,25
"24",103,1996,26
"25",65,1996,27
"26",29,1996,28
"27",39,1996,29
"28",36,1996,30
"29",47,1996,31
"30",25,1996,32
"31",40,1996,33
"32",36,1996,34
"33",13,1996,35
"34",4,1996,36
"35",7,1996,37
"36",13,1996,38
"37",6,1996,39
"38",6,1996,40
"39",12,1996,41
"40",9,1996,42
"41",3,1996,43
"42",5,1996,44
"43",7,1996,45
"44",2,1996,46
"45",4,1996,47
"46",3,1996,48
"47",2,1996,49
"48",1,1996,50
"49",3,1996,51
"50",37,1996,52
"51",210,1996,1
"52",240,1996,2
"53",18,1997,3
"54",31,1997,4
"55",52,1997,5
"56",89,1997,6
"57",64,1997,7
"58",74,1997,8
"59",117,1997,9
"60",100,1997,10
"61",188,1997,11
"62",301,1997,12
"63",126,1997,13
"64",196,1997,14
"65",161,1997,15
"66",140,1997,16
"67",108,1997,17
"68",138,1997,18
"69",84,1997,19
"70",93,1997,20
"71",86,1997,21
"72",68,1997,22
"73",46,1997,23
"74",42,1997,24
"75",34,1997,25
"76",13,1997,26
"77",17,1997,27
"78",0,1997,28
"79",6,1997,29
"80",5,1997,30
"81",5,1997,31
"82",4,1997,32
"83",1,1997,33
"84",2,1997,34
"85",1,1997,35
"86",1,1997,36
"87",1,1997,37
"88",1,1997,38
"89",0,1997,39
"90",0,1997,40
"91",3,1997,41
"92",4,1997,42
"93",1,1997,43
"94",1,1997,44
"95",2,1997,45
"96",2,1997,46
"97",3,1997,47
"98",13,1997,48
"99",3,1997,49
"100",3,1997,50
"101",2,1997,51
"102",9,1997,52
"103",14,1997,1
"104",11,1997,2
"105",25,1998,3
"106",32,1998,4
"107",15,1998,5
"108",55,1998,6
"109",104,1998,7
"110",134,1998,8
"111",132,1998,9
"112",239,1998,10
"113",387,1998,11
"114",322,1998,12
"115",391,1998,13
